Area,Parent,Name,Route,Type,Params,Entry Points,Secondary Entries,Auth,Context,Purpose,Functionality,Actions,Tabs,Modals,Data Source,Backend,Status,Visibility,Source File,Route File,Notes,Matrix Row ID,PP Equivalent Name,PP Route(s) Today,PP Route Exists,PP Source File(s),PP Nav Entry Point,PP Auth / Role Gate,PP Data Source,PP Backend Endpoint / Function,PP Backend Connected,PP Functional Status,Match Status,Match Confidence,UI Parity,Functional Parity,Route Decision,Target PP Route (Decided),Naming Decision (Label To Use),Nav Placement Decision,Deep Link Pattern,Lovable-Only Feature,Fake-Backend Risk,Preserve-PermitPilot-Logic Notes,Do-Not-Replicate Reason,Required Backend Work,Required Frontend Work,Blocking Dependencies,Priority,Risk,Effort,Phase,Acceptance Criteria,Test / Verification Hook,Owner Decision Needed,Audit Notes
Utility Coordination,UCI,UCI · CIAC & Refunds,/uci/ciac,static,none,sidebar → Intelligence › UCI · CIAC & Refunds,direct URL,role-gated,none,CIAC deposits,Browse,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciCiac.tsx,src/App.tsx,—,L041,CIAC & Refunds,/uci?section=ciac&tab=costs,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › CIAC & Refunds (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,Medium,"Weak — CIAC appears as generic cost rows, not a dedicated refund tracker",Partial — CIAC amounts can be recorded; refund windows are not tracked,Deep link (query param),/uci?section=ciac,"Use Lovable label ""CIAC & Refunds"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""ciac"") → tab ""costs""",No,Low — deep link lands on real data,Preserve the existing cost-row model that CIAC entries use today.,"Do not create /uci/ciac, and do not show refund-window countdowns that nothing computes.","A refund-window model (deposit date, refund deadline, status) before any tracker UI.",Style the Costs drawer tab; keep the 'refund tracker not connected' note.,Requires an open coordination record before the drawer tab can render.,P2,Low,S,Phase 4 — delivery and intelligence surfaces,CIAC deep link opens the real Costs tab; no refund-window UI appears without a backing model.,npx vitest run src/pages/uciDashboard.*.test.ts,Yes — a refund-window model needs a product decision,UCI_NAV_SECTIONS note: 'Dedicated refund-window tracker is not connected yet.'
Utility Coordination,UCI,UCI · Energization,/uci/energization,static,none,sidebar → Intelligence › UCI · Energization,direct URL,role-gated,none,Energization tracking,View,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciEnergization.tsx,src/App.tsx,—,L042,Energization,/uci?section=energization&tab=costs,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Energization (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,Medium,Weak — energization dates exist; no multi-party choreography timeline,"Partial — real dates and meter-set/closeout data, no orchestration view",Deep link (query param),/uci?section=energization,"Use Lovable label ""Energization"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""energization"") → tab ""costs""",No,Low — deep link lands on real data,Preserve energization dates and the meter-set/closeout checklist generation.,"Do not create /uci/energization, and do not render a choreography timeline with invented participants.","A multi-party scheduling model, if choreography is required.",Style the Costs drawer tab; keep the partial-support note.,Requires an open coordination record before the drawer tab can render.,P2,Low,S,Phase 4 — delivery and intelligence surfaces,Energization deep link opens real dates; no fabricated timeline.,npx vitest run src/pages/uciDashboard.*.test.ts,No,UCI_NAV_SECTIONS note: 'Multi-party choreography timeline is not connected yet.'
Utility Coordination,UCI,UCI · Miss Utility 811,/uci/miss-utility,static,none,sidebar → Intelligence › UCI · Miss Utility 811,direct URL,admin/staff only,none,811 tickets,View,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciMissUtility.tsx,src/App.tsx,—,L043,Miss Utility,/uci?section=miss-utility,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Miss Utility (UciSidebarNav, support=""mock"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,None — labelled coming-soon panel,None,None,"Coming-soon panel (labelled, no data)",Missing in PermitPilot,High,None — labelled coming-soon panel only,None — no 811 ticket domain in PermitPilot,Do not build,/uci?section=miss-utility,"Use Lovable label ""Miss Utility"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""miss-utility"")",No,"High — must stay a labelled coming-soon panel, never a mock data table",Preserve the coming-soon panel's explicit 'no backend yet' labelling.,"Do not build an 811 ticket table. There is no PermitPilot backend for Miss Utility tickets, and 811 is a regulated notification process — a fake ticket UI could imply a locate request was filed when it was not.",An 811 ticket domain plus a real integration with the state notification centre.,None. Keep the coming-soon panel.,No 811 integration; regulatory implications.,P3,High,L,Out of scope — coming-soon panel only,?section=miss-utility continues to render the labelled coming-soon panel and nothing that looks like a real ticket list.,Manual visit to /uci?section=miss-utility,Yes — regulated process; needs explicit approval,UCI_NAV_SECTIONS note: 'No PermitPilot backend for 811 / Miss Utility tickets yet.'
Utility Coordination,UCI,UCI · Knowledge Graph,/uci/knowledge-graph,static,none,sidebar → Intelligence › UCI · Knowledge Graph,direct URL,admin/staff only,none,Utility knowledge graph,Explore graph,view only,—,—,static mock,Mock,Mock,role-based,src/pages/UciKnowledgeGraph.tsx,src/App.tsx,—,L044,Knowledge Graph,/uci?section=knowledge-graph,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Knowledge Graph (UciSidebarNav, support=""mock"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,None — labelled coming-soon panel,None,None,"Coming-soon panel (labelled, no data)",Missing in PermitPilot,High,None — labelled coming-soon panel only,None — no graph/nodes backend,Do not build,/uci?section=knowledge-graph,"Use Lovable label ""Knowledge Graph"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""knowledge-graph"")",No,"High — must stay a labelled coming-soon panel, never a mock data table",Preserve the coming-soon labelling.,Do not build a graph explorer. PermitPilot has no graph or node storage; every edge would be invented.,A graph schema plus an entity-resolution pipeline.,None.,No graph domain; no owner.,P3,High,XL,Out of scope — coming-soon panel only,?section=knowledge-graph stays a labelled coming-soon panel.,Manual visit to /uci?section=knowledge-graph,Yes,UCI_NAV_SECTIONS note: 'No PermitPilot graph/nodes backend yet.'
Utility Coordination,UCI,UCI Application Builder,/uci/application-builder,static,none,sidebar → Intelligence › UCI Builder,direct URL,admin/staff only,none,Assemble UCI packet,Compose fields,"create, edit",—,—,local state,UI only,Placeholder,role-based,src/pages/UciApplicationBuilder.tsx,src/App.tsx,—,L045,Application Builder,/uci?section=application-builder&tab=application-prep,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Application Builder (UciSidebarNav, support=""active"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Yes,Working,Strong functional match,High,Partial — PermitPilot's Application prep is richer than Lovable's builder,"PermitPilot is far ahead — Lovable's builder is a UI-only placeholder; PermitPilot builds, maps documents, reviews and submits",Deep link (query param),/uci?section=application-builder,"Use Lovable label ""Application Builder"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""application-builder"") → tab ""application-prep""",No,Low — deep link lands on real data,"Preserve the build / map documents / review / submit flow and its document mapping logic, which has dedicated vitest coverage.","Do not create /uci/application-builder, and do not simplify the real four-step flow to match Lovable's placeholder.",None.,Style the Application prep drawer tab to match Lovable's builder chrome.,Requires an open coordination record.,P1,Medium,S,Phase 3 — core authenticated surfaces,"Application prep still builds, maps documents, reviews and submits; document-mapping tests pass.",npx vitest run src/pages/uciDashboard.documentMapping.test.ts,No,"UCI_NAV_SECTIONS support=""active"": 'Real Application prep (build / map docs / review / submit).'"
Utility Coordination,—,Jurisdiction Map,/utility-map,static,none,sidebar → Intelligence › Jurisdiction Map,direct URL,signed-in,none,Utility map view,Explore map,view only,—,—,static,Mock,Mock,always visible,src/pages/UtilityMap.tsx,src/App.tsx,—,L046,Jurisdiction Map,/jurisdictions/map,Yes,src/pages/JurisdictionMapPage.tsx; scraper-service/data/territory/electric-full-v2/*,Sidebar → Jurisdiction Map; also /uci?section=provider-map redirects here,Signed-in via ProtectedLayoutRoute,Real utility territory GeoJSON (19 states) + county-utility reconciliation datasets,get-mapbox-token; scraper-service territory datasets,Yes,Working,Strong functional match,High,Partial — Lovable's map chrome and legend styling is the target,PermitPilot is far ahead — Lovable's map is static; PermitPilot renders real service-territory geometry,Keep PP route,/jurisdictions/map,"Keep ""Jurisdiction Map""",Intelligence group in the sidebar; also the target of the UCI Provider Map section,/uci?section=provider-map navigates here (kind: external),No,Low — the territory data is real and validated,"Preserve the Mapbox token flow (get-mapbox-token), territory GeoJSON loading and the footprint validation datasets.",Do not hard-code a Mapbox token or bundle a reduced territory dataset for styling convenience.,None.,"Align map container, legend and filter styling with Lovable's map view.",None.,P1,Medium,M,Phase 4 — delivery and intelligence surfaces,Map renders all territory layers with the new chrome; token retrieval unchanged; UCI provider-map deep link still lands here.,node --test scraper-service/tests (territory footprint suites); manual map smoke,No,"uciNavSections provider-map target is { kind: 'external', href: '/jurisdictions/map' } — explicitly 'not a mock provider map'."
Utility Coordination,—,Provider Compare,/utility/provider-map,static,none,sidebar → Intelligence › Provider Compare,direct URL,signed-in,none,Provider comparison,Compare providers,filter,—,—,src/data/utilityProviders.ts + edge fn utility-recommendations,Partially connected,Partial,always visible,src/pages/UtilityProviderMap.tsx,src/App.tsx,—,L047,Jurisdiction Comparison,/jurisdictions/compare (alias /jurisdiction-comparison),Yes,src/pages/JurisdictionComparison.tsx,Sidebar → Compare Jurisdictions,Signed-in via ProtectedLayoutRoute,Real jurisdiction dataset + utility provider directory,Supabase jurisdiction tables; scraper-service provider directory,Yes,Working,Partial match,Medium,"Partial — Lovable compares utility providers, PermitPilot compares jurisdictions; the comparison-table pattern is shared",Partial — PermitPilot's comparison is real but oriented to jurisdictions rather than providers,Fold into existing PP surface,/jurisdictions/compare,"Keep ""Compare Jurisdictions""; use ""Provider Map"" only for the UCI section that links to the map",Intelligence group in the sidebar,/jurisdiction-comparison is an existing alias of the same page,No,Medium — do not add provider comparison columns the directory cannot fill,Preserve the jurisdiction comparison queries and the provider directory metadata.,Do not build a second provider-comparison page; the UCI Provider Map section already routes to the real map.,"Provider-level comparison fields, only if the client specifically needs provider-vs-provider comparison.",Adopt Lovable's comparison-table styling on the existing page.,None.,P2,Medium,M,Phase 4 — delivery and intelligence surfaces,Comparison table restyled with real jurisdiction data; both existing route aliases still resolve.,Manual visit to /jurisdictions/compare and /jurisdiction-comparison,Yes — confirm whether the client wants jurisdiction or provider comparison,src/App.tsx lines 125-126 declare both routes for the same component.
Utility Coordination,—,Cross-Utility Conflict Hunter,/utility/conflict-hunter,static,none,direct URL,—,signed-in,none,Conflict detection,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/CrossUtilityConflictHunter.tsx,src/App.tsx,—,L048,Conflict Hunter,/uci?section=conflict-hunter,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Conflict Hunter (UciSidebarNav, support=""mock"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,None — labelled coming-soon panel,None,None,"Coming-soon panel (labelled, no data)",Missing in PermitPilot,High,None — labelled coming-soon panel only,None — no conflict-detection service,Do not build,/uci?section=conflict-hunter,"Use Lovable label ""Conflict Hunter"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""conflict-hunter"")",No,"High — must stay a labelled coming-soon panel, never a mock data table",Preserve the coming-soon labelling.,Do not build. A conflict detector that reports 'no conflicts' without analysing anything is actively dangerous on a utility coordination platform.,A cross-utility conflict detection service with real geometry and schedule inputs.,None.,No conflict-detection service.,P3,High,L,Out of scope — coming-soon panel only,?section=conflict-hunter stays a labelled coming-soon panel.,Manual visit to /uci?section=conflict-hunter,Yes,UCI_NAV_SECTIONS note: 'No conflict-detection service yet.'
Utility Coordination,—,Easement / ROW Manager,/utility/easements,static,none,direct URL,—,signed-in,none,Easement tracking,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/EasementRowManager.tsx,src/App.tsx,—,L049,Easement / Right of Way,/uci?section=easement,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Easement / Right of Way (UciSidebarNav, support=""mock"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,None — labelled coming-soon panel,None,None,"Coming-soon panel (labelled, no data)",Missing in PermitPilot,High,None — labelled coming-soon panel only,None — no easement/ROW domain,Do not build,/uci?section=easement,"Use Lovable label ""Easement / Right of Way"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""easement"")",No,"High — must stay a labelled coming-soon panel, never a mock data table",Preserve the coming-soon labelling.,Do not build. Easements are legal instruments; a tracker with no records could imply rights that were never secured.,An easement/ROW domain with document linkage.,None.,No easement domain; legal review needed.,P3,High,L,Out of scope — coming-soon panel only,?section=easement stays a labelled coming-soon panel.,Manual visit to /uci?section=easement,Yes,UCI_NAV_SECTIONS note: 'No easement / ROW domain yet.'
Utility Coordination,—,Load Profile Analyzer,/utility/load-profile,static,none,direct URL,—,signed-in,none,Load analysis,Analyze load,"upload, view",—,—,local state + Supabase,Partially connected,Partial,direct URL only,src/pages/LoadProfileAnalyzer.tsx,src/App.tsx,Has vitest coverage.,L050,Load Profile,/uci?section=load-profile&tab=load-profile,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Load Profile (UciSidebarNav, support=""active"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Yes,Working,Strong functional match,High,Partial — PermitPilot's load profile lives in a drawer tab rather than a page,Strong on both sides; PermitPilot's version is real and has test coverage,Deep link (query param),/uci?section=load-profile,"Use Lovable label ""Load Profile"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""load-profile"") → tab ""load-profile""",No,Low — deep link lands on real data,"Preserve load-profile upload, parsing and analysis logic, including its existing vitest coverage.",Do not create /utility/load-profile as a separate route.,None.,Style the Load profile drawer tab to match Lovable's analyzer panel.,Requires an open coordination record before the drawer tab can render.,P1,Low,S,Phase 3 — core authenticated surfaces,Load profile upload and analysis still work in the drawer tab; existing tests pass.,npx vitest run src/pages/uciDashboard.*.test.ts,No,"UCI_NAV_SECTIONS support=""active"". Lovable also records vitest coverage on its own version."
Utility Coordination,—,Meter Set Choreographer,/utility/meter-set,static,none,direct URL,—,signed-in,none,Meter set sequencing,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/MeterSetChoreographer.tsx,src/App.tsx,—,L051,Meter Set,/uci?section=meter-set&tab=costs,"Partial — section of /uci, not a standalone route",src/pages/UciDashboard.tsx; src/lib/uciNavSections.ts; src/components/layout/UciSidebarNav.tsx,"Expandable sidebar → Utility Coordination › Meter Set (UciSidebarNav, support=""partial"")",Signed-in via ProtectedLayoutRoute; UCI data scoped per project,Live scraper + Supabase UCI coordination records (per project),scraper-service /api/uci; check-portal-status,Partial,Partial,Partial match,Medium,Weak — checklist generation exists; no sequencing/scheduling UI,"Partial — real meter-set and closeout checklist generation, no choreography",Deep link (query param),/uci?section=meter-set,"Use Lovable label ""Meter Set"" in the UCI sidebar",UCI expandable sidebar group; no top-level nav entry,"uciSectionHref(""meter-set"") → tab ""costs""",No,Low — deep link lands on real data,Preserve meter-set and closeout checklist generation.,"Do not create /utility/meter-set, and do not build a sequencing board over data that does not exist.",A scheduling model before any sequencing UI.,Keep the partial-support note; no new UI.,Requires an open coordination record before the drawer tab can render.,P3,Medium,M,Backlog,Meter Set deep link opens the real Costs tab with the partial-support note intact.,npx vitest run src/pages/uciDashboard.*.test.ts,Yes — sequencing scope needs a product decision,UCI_NAV_SECTIONS note: 'Richer scheduling UI is not connected yet.'
Utility Coordination,—,Long-Lead Equipment,/scheduling/long-lead,static,none,direct URL,—,signed-in,none,Equipment ETA tracker,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/LongLeadEquipment.tsx,src/App.tsx,—,L052,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Long-lead equipment tracking needs a procurement domain PermitPilot does not have.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Utility Coordination,—,Predictive Schedule Impact,/scheduling/predictive-impact,static,none,direct URL,—,signed-in,none,Schedule risk model,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/PredictiveScheduleImpact.tsx,src/App.tsx,—,L053,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. A predictive model with no inputs would output invented risk.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Utility Coordination,—,Inspector Release Tracker,/inspections/release-tracker,static,none,direct URL,—,signed-in,none,Inspection release status,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/InspectorReleaseTracker.tsx,src/App.tsx,—,L054,Inspection reminders (backend only),— (no route),No,supabase/functions/send-inspection-reminders,Not user-facing,Service-side,Deadline and reminder data; no inspection release state,send-inspection-reminders,Yes (reminders only),"Reminders real, no tracker",Backend match only,High,None — no tracker UI,Weak — reminders exist but inspection release is not modelled,Defer,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,"Medium — plausible future surface, but building it now would require mock data","No PermitPilot logic exists on this path, so nothing to preserve.","PermitPilot sends real inspection reminders but does not model inspection release state, so a tracker would show status it cannot compute.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,Needs an inspection state model.,P3,Medium,L,Backlog — revisit after visual alignment phases complete,No acceptance criteria yet. Promote to a real phase only after a backend design exists and this matrix row is updated.,n/a — nothing to test until scope changes,Yes — needs a product decision on whether PermitPilot should own this domain,send-inspection-reminders is real; the tracker surface is not.
Utility Coordination,—,Special Inspections,/inspections/special,static,none,direct URL,—,signed-in,none,Special inspection log,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/SpecialInspections.tsx,src/App.tsx,—,L055,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Blocked on the same inspection state model as L054.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Utility Coordination,—,Final CO Inspections,/inspections/final-co,static,none,direct URL,—,signed-in,none,Final CO tracking,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/FinalInspections.tsx,src/App.tsx,—,L056,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.",Do not build. Blocked on the same inspection state model as L054.,"New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Lovable page is mock.
Field,—,SIR,/sir,static,none,direct URL,—,signed-in,none,Site Investigation Report,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/Sir.tsx,src/App.tsx,—,L057,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build the SIR landing. Explicitly out of scope. Directive: 'Do NOT replicate as fake backends: ... SIR/Field mobile packs'. PermitPilot has no site-investigation domain, no offline sync and no field evidence storage.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Whole SIR family is mock in Lovable and has no PermitPilot counterpart.
Field,SIR,SIR Workspace,/sir/workspace,static,none,direct URL,—,signed-in,none,Workspace,Edit report,edit,—,—,static mock,Mock,Mock,direct URL only,src/pages/SirWorkspace.tsx,src/App.tsx,—,L058,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build the SIR workspace. Explicitly out of scope. Directive: 'Do NOT replicate as fake backends: ... SIR/Field mobile packs'. PermitPilot has no site-investigation domain, no offline sync and no field evidence storage.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Whole SIR family is mock in Lovable and has no PermitPilot counterpart.
Field,SIR,SIR Annex,/sir/annex,static,none,direct URL,—,signed-in,none,Annex sections,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/SirAnnex.tsx,src/App.tsx,—,L059,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build the SIR annex. Explicitly out of scope. Directive: 'Do NOT replicate as fake backends: ... SIR/Field mobile packs'. PermitPilot has no site-investigation domain, no offline sync and no field evidence storage.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Whole SIR family is mock in Lovable and has no PermitPilot counterpart.
Field,SIR,SIR Executive,/sir/executive,static,none,direct URL,—,signed-in,none,Executive rollup,View,view only,—,—,static mock,Mock,Mock,direct URL only,src/pages/SirExecutive.tsx,src/App.tsx,—,L060,— (no PermitPilot equivalent),— (none),No,— (none),Not present in PermitPilot navigation,n/a — surface does not exist,— (none),None,None,Not implemented,Missing in PermitPilot,High,None — no PermitPilot surface to compare,None — no PermitPilot domain behind it,Do not build,— (no route),n/a — label not adopted,Omit from PermitPilot navigation,n/a,Yes,High — Lovable page is mock; replicating it would ship a convincing but empty surface,"No PermitPilot logic exists on this path, so nothing to preserve.","Do not build the SIR executive rollup. Explicitly out of scope. Directive: 'Do NOT replicate as fake backends: ... SIR/Field mobile packs'. PermitPilot has no site-investigation domain, no offline sync and no field evidence storage.","New domain model, tables, RLS and service layer would be required before any UI work.",None. Do not build the UI ahead of a real backend.,No PermitPilot data model; no confirmed client requirement; no owner.,P3,High,XL,Out of scope — deferred indefinitely,No acceptance criteria: row is explicitly out of scope. This matrix must be updated (with an owner and a backend plan) before any work begins.,n/a — nothing to test until scope changes,No — the decision is already recorded as do-not-build. Reopening it requires a matrix update naming an owner and a backend plan.,Whole SIR family is mock in Lovable and has no PermitPilot counterpart.
